Z_real,Z_imag,Spectrum_Number,Frequency_Hz
1.033439920932e+01,-1.112037826343e+00,0,1.000000000000e+05
1.046585474492e+01,-1.454579487861e+00,0,7.196856730012e+04
1.065565548690e+01,-1.894210276096e+00,0,5.179474679231e+04
1.093219471996e+01,-2.450881035502e+00,0,3.727593720315e+04
1.133700711155e+01,-3.141444384756e+00,0,2.682695795280e+04
1.192799042324e+01,-3.971530860812e+00,0,1.930697728883e+04
1.277882966283e+01,-4.921676476550e+00,0,1.389495494373e+04
1.396807785114e+01,-5.928659944672e+00,0,1.000000000000e+04
1.554999658667e+01,-6.870741445851e+00,0,7.196856730012e+03
1.750800649179e+01,-7.576874931614e+00,0,5.179474679231e+03
1.971638345189e+01,-7.879452810560e+00,0,3.727593720315e+03
2.195529263206e+01,-7.695776764422e+00,0,2.682695795280e+03
2.399228360258e+01,-7.076841474145e+00,0,1.930697728883e+03
2.567375795166e+01,-6.176639282226e+00,0,1.389495494373e+03
2.695809772372e+01,-5.172102024356e+00,0,1.000000000000e+03
2.788655801096e+01,-4.199665711504e+00,0,7.196856730012e+02
2.853517901792e+01,-3.336328425822e+00,0,5.179474679231e+02
2.898048075359e+01,-2.610673921634e+00,0,3.727593720315e+02
2.928463297979e+01,-2.021810230239e+00,0,2.682695795280e+02
2.949303321382e+01,-1.554727730560e+00,0,1.930697728883e+02
2.963700372223e+01,-1.189747232004e+00,0,1.389495494373e+02
2.973754740974e+01,-9.073767792273e-01,0,1.000000000000e+02
2.980859033621e+01,-6.903831700154e-01,0,7.196856730012e+01
2.985936472682e+01,-5.243975725100e-01,0,5.179474679231e+01
2.989603358635e+01,-3.978371275226e-01,0,3.727593720315e+01
2.992275758896e+01,-3.015563708157e-01,0,2.682695795280e+01
2.994238388012e+01,-2.284297521686e-01,0,1.930697728883e+01
2.995688876792e+01,-1.729542609361e-01,0,1.389495494373e+01
2.996766329995e+01,-1.309053990606e-01,0,1.000000000000e+01
2.997569921450e+01,-9.905365174991e-02,0,7.196856730012e+00
2.998171161285e+01,-7.493742100388e-02,0,5.179474679231e+00
2.998622113049e+01,-5.668440070074e-02,0,3.727593720315e+00
2.998960987622e+01,-4.287269186865e-02,0,2.682695795280e+00
2.999216012834e+01,-3.242366714206e-02,0,1.930697728883e+00
2.999408150957e+01,-2.451977863098e-02,0,1.389495494373e+00
2.999553033187e+01,-1.854174618236e-02,0,1.000000000000e+00
2.999662353113e+01,-1.402068998840e-02,0,7.196856730012e-01
2.999744880555e+01,-1.060172586865e-02,0,5.179474679231e-01
2.999807205305e+01,-8.016319477914e-03,0,3.727593720315e-01
2.999854286384e+01,-6.061315140282e-03,0,2.682695795280e-01
2.999889859838e+01,-4.583040829238e-03,0,1.930697728883e-01
2.999916742771e+01,-3.465267941467e-03,0,1.389495494373e-01
2.999937060775e+01,-2.620095179297e-03,0,1.000000000000e-01
2.999952418473e+01,-1.981048752432e-03,0,7.196856730012e-02
2.999964027664e+01,-1.497861410142e-03,0,5.179474679231e-02
2.999972803755e+01,-1.132522583677e-03,0,3.727593720315e-02
2.999979438404e+01,-8.562906077105e-04,0,2.682695795280e-02
2.999984454294e+01,-6.474329332585e-04,0,1.930697728883e-02
2.999988246467e+01,-4.895170944091e-04,0,1.389495494373e-02
